url,category,depth_limit,priority,notes
https://sist.shanghaitech.edu.cn/sist_en/2858/list.htm,news,3,2,News
https://sist.shanghaitech.edu.cn/sist_en/2859/list.htm,events,3,2,Events
https://sist.shanghaitech.edu.cn/sist_en/Newsletter/list.htm,news,3,2,Newsletter en
https://sist.shanghaitech.edu.cn/sist_en/2862/list.htm,events,3,2,Symposia
https://sist.shanghaitech.edu.cn/sist_en/InternationalExchange/list.htm,events,3,2,International Exchange
https://sist.shanghaitech.edu.cn/2717/list.htm,career,2,1,人才招聘
https://sist.shanghaitech.edu.cn/2865/list.htm,career,3,1,全职教授
https://sist.shanghaitech.edu.cn/2866/list.htm,career,3,1,科研人员
https://sist.shanghaitech.edu.cn/2867/list.htm,career,3,1,科研助理
https://sist.shanghaitech.edu.cn/2868/list.htm,career,3,1,支撑岗位
https://sist.shanghaitech.edu.cn/2869/list.htm,career,3,1,管理岗位
https://sist.shanghaitech.edu.cn/2870/list.htm,career,2,2,招聘资料下载
https://sist.shanghaitech.edu.cn/qnlt/list.htm,career,3,2,青年论坛
https://sist.shanghaitech.edu.cn/sist_en/2717/list.htm,career,2,2,Job Opportunities
https://sist.shanghaitech.edu.cn/sist_en/2865/list.htm,career,3,2,Faculty Recruitment
https://sist.shanghaitech.edu.cn/sist_en/2866/list.htm,career,3,2,Researcher Recruitment
